Place,Div,Age,Sex,City,State,Guntime,Nettime,Pace,Delta,Deltadiv,Race Distance,Race Day
1,MOPEN,25,M,Mammoth Lakes,CA,3:50,03:49.3,3:50,Winner,Winner,1 mile,1/1/2019
2,MOPEN,25,M,Manchester,NH,3:52,03:51.4,3:52,0:02,0:02,1 mile,1/1/2019
3,MOPEN,21,M,Loudon,NH,3:52,03:52.0,3:52,0:02,0:02,1 mile,1/1/2019
4,M13-19,17,M,Litchfield,NH,4:06,04:05.5,4:06,0:16,Winner,1 mile,1/1/2019
5,M20-24,20,M,Newmarket,NH,4:14,04:13.2,4:14,0:24,Winner,1 mile,1/1/2019
6,M30-34,32,M,Newton,MA,4:14,04:13.8,4:14,0:24,Winner,1 mile,1/1/2019
7,M40-44,40,M,Norwood,MA,4:15,04:14.7,4:15,0:25,Winner,1 mile,1/1/2019
8,M20-24,23,M,Alton,NH,4:17,04:17.0,4:17,0:27,0:03,1 mile,1/1/2019
9,M20-24,24,M,Kingston,MA,4:20,04:19.1,4:20,0:30,0:06,1 mile,1/1/2019
10,M25-29,29,M,Rochester,NH,4:21,04:20.2,4:21,0:31,Winner,1 mile,1/1/2019
11,M13-19,18,M,Deerfield,NH,4:22,04:21.9,4:22,0:32,0:16,1 mile,1/1/2019
12,M25-29,28,M,Sandown,NH,4:22,04:22.0,4:22,0:32,0:01,1 mile,1/1/2019
13,M30-34,32,M,Old Town,ME,4:23,04:22.6,4:23,0:33,0:09,1 mile,1/1/2019
14,M20-24,23,M,Pelham,NH,4:24,04:23.2,4:24,0:34,0:10,1 mile,1/1/2019
15,M13-19,15,M,Fremont,NH,4:25,04:24.2,4:25,0:35,0:19,1 mile,1/1/2019
16,M13-19,13,M,Northwood,NH,4:26,04:25.5,4:26,0:36,0:20,1 mile,1/1/2019
17,M40-44,44,M,Windham,NH,4:26,04:25.5,4:26,0:36,0:11,1 mile,1/1/2019
18,M20-24,20,M,Nashua,NH,4:27,04:25.8,4:26,0:36,0:12,1 mile,1/1/2019
19,M45-49,47,M,Dover,NH,4:28,04:27.9,4:28,0:38,Winner,1 mile,1/1/2019
20,FOPEN,27,F,Flagstaff,AZ,4:29,04:28.3,4:29,0:39,Winner,1 mile,1/1/2019
21,M30-34,33,M,Manchester,NH,4:31,04:30.3,4:31,0:41,0:17,1 mile,1/1/2019
22,M45-49,45,M,Eliot,ME,4:33,04:32.5,4:33,0:43,0:05,1 mile,1/1/2019
